,gap_open,gap_ext,FP,TP
0,1,1,0.38,0.7
1,1,2,0.34,0.7
2,1,3,0.28,0.66
3,1,4,0.28,0.7
4,1,5,0.26,0.7
5,2,1,0.36,0.7
6,2,2,0.32,0.68
7,2,3,0.28,0.66
8,2,4,0.24,0.7
9,2,5,0.28,0.7
10,3,1,0.32,0.7
11,3,2,0.3,0.7
12,3,3,0.28,0.7
13,3,4,0.26,0.68
14,3,5,0.26,0.68
15,4,1,0.3,0.7
16,4,2,0.28,0.7
17,4,3,0.24,0.7
18,4,4,0.28,0.7
19,4,5,0.26,0.66
20,5,1,0.28,0.66
21,5,2,0.3,0.66
22,5,3,0.22,0.7
23,5,4,0.26,0.68
24,5,5,0.28,0.66
25,6,1,0.26,0.66
26,6,2,0.28,0.68
27,6,3,0.24,0.7
28,6,4,0.28,0.68
29,6,5,0.28,0.68
30,7,1,0.28,0.7
31,7,2,0.24,0.7
32,7,3,0.24,0.68
33,7,4,0.28,0.62
34,7,5,0.36,0.66
35,8,1,0.32,0.7
36,8,2,0.26,0.7
37,8,3,0.28,0.7
38,8,4,0.36,0.68
39,8,5,0.38,0.7
40,9,1,0.3,0.7
41,9,2,0.3,0.7
42,9,3,0.28,0.66
43,9,4,0.38,0.7
44,9,5,0.38,0.66
45,10,1,0.28,0.7
46,10,2,0.28,0.7
47,10,3,0.36,0.68
48,10,4,0.38,0.68
49,10,5,0.38,0.66
50,11,1,0.28,0.7
51,11,2,0.36,0.7
52,11,3,0.38,0.68
53,11,4,0.38,0.68
54,11,5,0.4,0.7
55,12,1,0.3,0.7
56,12,2,0.36,0.68
57,12,3,0.38,0.7
58,12,4,0.38,0.66
59,12,5,0.38,0.7
60,13,1,0.34,0.7
61,13,2,0.38,0.68
62,13,3,0.38,0.68
63,13,4,0.4,0.7
64,13,5,0.38,0.7
65,14,1,0.34,0.68
66,14,2,0.38,0.68
67,14,3,0.36,0.66
68,14,4,0.38,0.7
69,14,5,0.38,0.7
70,15,1,0.36,0.68
71,15,2,0.36,0.68
72,15,3,0.4,0.7
73,15,4,0.38,0.7
74,15,5,0.36,0.7
75,16,1,0.36,0.68
76,16,2,0.36,0.66
77,16,3,0.38,0.7
78,16,4,0.38,0.7
79,16,5,0.36,0.7
80,17,1,0.36,0.68
81,17,2,0.4,0.7
82,17,3,0.38,0.7
83,17,4,0.38,0.7
84,17,5,0.34,0.7
85,18,1,0.36,0.66
86,18,2,0.38,0.7
87,18,3,0.38,0.7
88,18,4,0.34,0.7
89,18,5,0.34,0.7
90,19,1,0.4,0.7
91,19,2,0.38,0.7
92,19,3,0.36,0.7
93,19,4,0.34,0.7
94,19,5,0.34,0.7
95,20,1,0.38,0.7
96,20,2,0.36,0.7
97,20,3,0.36,0.7
98,20,4,0.34,0.7
99,20,5,0.34,0.7
